datetime,weekday,diferencia
2019-02-25 07:46:40,0,0
2019-02-25 08:22:39,0,35.98333333
2019-02-25 10:51:16,0,148.6166667
2019-02-25 11:19:13,0,27.95
2019-02-25 11:19:19,0,0.100000002
2019-02-25 12:45:40,0,86.35
2019-02-25 12:52:27,0,6.783333337
2019-02-25 13:42:06,0,49.65
2019-02-25 14:12:43,0,30.61666667
2019-02-25 15:14:55,0,62.2
2019-02-25 15:18:55,0,4.000000003
2019-02-25 15:36:14,0,17.31666667
2019-02-25 15:37:12,0,0.966666662
2019-02-25 16:27:00,0,49.8
2019-02-25 17:01:51,0,34.85
2019-02-25 17:13:20,0,11.48333334
2019-02-25 17:14:24,0,1.066666665
2019-02-25 17:20:56,0,6.533333341
2019-02-25 17:36:16,0,15.33333333
2019-02-25 17:36:34,0,0.299999997
2019-02-25 17:36:34,0,0
2019-02-25 17:38:55,0,2.349999994
2019-02-25 17:45:02,0,6.116666672
2019-02-25 18:08:01,0,22.98333333
2019-02-25 18:08:59,0,0.966666673
2019-02-25 18:14:26,0,5.449999996
2019-02-25 18:27:14,0,12.8
2019-02-25 18:28:07,0,0.883333341
2019-02-25 18:35:41,0,7.566666665
2019-02-25 18:35:41,0,0
2019-02-25 18:36:22,0,0.683333336
2019-02-25 19:01:37,0,25.24999999
2019-02-25 19:09:27,0,7.833333331
2019-02-25 19:26:51,0,17.4
2019-02-25 20:15:24,0,48.55
2019-02-25 20:47:34,0,32.16666666
2019-02-25 21:24:10,0,36.60000001
2019-02-26 06:16:21,1,532.1833333
2019-02-26 06:46:57,1,30.6
2019-02-26 07:26:59,1,40.03333334
2019-02-26 07:41:58,1,14.98333334
2019-02-26 09:34:03,1,112.0833333
2019-02-26 09:52:42,1,18.65
2019-02-26 10:12:36,1,19.9
2019-02-26 10:22:53,1,10.28333334
2019-02-26 11:20:40,1,57.78333334
2019-02-26 11:47:16,1,26.59999999
2019-02-26 13:53:19,1,126.05
2019-02-26 13:54:43,1,1.400000002
2019-02-26 14:08:46,1,14.04999999
2019-02-26 14:11:44,1,2.966666669
2019-02-26 14:22:21,1,10.61666667
2019-02-26 14:27:26,1,5.083333338
2019-02-26 14:52:14,1,24.79999999
2019-02-26 15:13:49,1,21.58333334
2019-02-26 15:23:15,1,9.433333328
2019-02-26 15:38:23,1,15.13333334
2019-02-26 15:59:01,1,20.63333333
2019-02-26 16:04:16,1,5.250000001
2019-02-26 16:13:04,1,8.800000004
2019-02-26 16:15:49,1,2.749999993
2019-02-26 16:21:00,1,5.18333334
2019-02-26 16:21:06,1,0.100000002
2019-02-26 16:21:21,1,0.249999996
2019-02-26 16:23:05,1,1.73333333
2019-02-26 16:24:28,1,1.383333332
2019-02-26 17:03:46,1,39.30000001
