datetime,weekday,diferencia
2019-03-02 04:56:22,5,0
2019-03-02 05:39:40,5,43.3
2019-03-02 06:02:03,5,22.38333333
2019-03-02 06:13:48,5,11.75
2019-03-02 07:03:00,5,49.2
2019-03-02 07:18:15,5,15.25
2019-03-02 07:33:24,5,15.15
2019-03-02 08:14:50,5,41.43333334
2019-03-02 08:43:46,5,28.93333333
2019-03-02 08:50:03,5,6.283333335
2019-03-02 09:18:05,5,28.03333334
2019-03-02 09:21:53,5,3.799999998
2019-03-02 09:34:24,5,12.51666666
2019-03-02 09:47:41,5,13.28333334
2019-03-02 10:36:02,5,48.35
2019-03-02 10:37:58,5,1.933333335
2019-03-02 11:06:45,5,28.78333334
2019-03-02 11:20:58,5,14.21666667
2019-03-02 11:30:06,5,9.133333331
2019-03-02 11:37:54,5,7.8
2019-03-02 11:39:43,5,1.816666672
2019-03-02 13:01:58,5,82.24999999
2019-03-02 13:34:46,5,32.80000001
2019-03-02 13:37:04,5,2.299999993
2019-03-02 13:37:26,5,0.366666669
2019-03-02 13:57:52,5,20.43333333
2019-03-02 14:17:22,5,19.5
2019-03-02 14:20:11,5,2.816666665
2019-03-02 14:22:47,5,2.6
2019-03-02 14:48:37,5,25.83333334
2019-03-02 14:54:30,5,5.883333336
2019-03-02 14:56:01,5,1.516666665
2019-03-02 15:13:15,5,17.23333333
2019-03-02 15:14:14,5,0.983333333
2019-03-02 15:25:45,5,11.51666667
2019-03-02 15:39:13,5,13.46666667
2019-03-02 15:43:11,5,3.966666672
2019-03-02 15:50:27,5,7.266666658
2019-03-02 16:00:51,5,10.4
2019-03-02 16:09:30,5,8.65
2019-03-02 16:35:58,5,26.46666667
2019-03-02 16:36:21,5,0.383333329
2019-03-02 16:38:44,5,2.383333335
2019-03-02 17:07:29,5,28.75
2019-03-02 17:11:05,5,3.599999993
2019-03-02 17:18:21,5,7.266666668
2019-03-02 17:19:12,5,0.85
2019-03-02 17:25:22,5,6.166666673
2019-03-02 17:28:36,5,3.233333335
2019-03-02 18:10:19,5,41.71666666
2019-03-02 18:11:22,5,1.049999994
2019-03-02 18:11:34,5,0.200000005
2019-03-02 18:26:42,5,15.13333333
2019-03-02 18:29:14,5,2.533333339
2019-03-02 18:33:41,5,4.449999993
2019-03-02 18:36:05,5,2.400000006
2019-03-02 18:46:06,5,10.01666666
2019-03-02 19:01:17,5,15.18333334
2019-03-02 19:02:34,5,1.283333329
2019-03-02 19:05:54,5,3.333333337
2019-03-02 19:11:37,5,5.716666662
2019-03-02 19:26:16,5,14.65
2019-03-02 19:28:13,5,1.950000005
2019-03-02 19:28:20,5,0.116666663
2019-03-02 19:31:29,5,3.150000003
2019-03-02 19:39:34,5,8.083333337
2019-03-02 19:41:12,5,1.633333327
2019-03-02 19:46:33,5,5.350000004
2019-03-02 19:48:23,5,1.833333332
2019-03-02 19:49:18,5,0.916666661
2019-03-02 20:49:42,5,60.40000001
2019-03-02 21:10:55,5,21.21666666
2019-03-02 21:52:29,5,41.56666667
2019-03-02 22:34:17,5,41.8
2019-03-02 22:42:04,5,7.78333334
2019-03-03 03:46:41,6,304.6166667
2019-03-03 04:47:45,6,61.06666667
2019-03-03 05:45:32,6,57.78333334
2019-03-03 06:09:41,6,24.15
2019-03-03 06:17:03,6,7.36666667
2019-03-03 07:29:36,6,72.55
2019-03-03 08:34:04,6,64.46666667
2019-03-03 08:54:52,6,20.8
2019-03-03 09:25:08,6,30.26666666
2019-03-03 09:42:57,6,17.81666667
